frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,f4_x,f4_y
50,0.33127207,0.1766548,-13.091225,-11.29376,5.4945436,-0.06652585,-6.72801,-18.307123,nan,nan
51,0.27200037,0.17186444,-13.428173,-11.548781,5.713899,-0.06104228,-7.0589337,-18.89907,nan,nan
52,0.33686227,0.29017702,-13.842484,-11.7597065,5.9445634,-0.15232544,-7.3296914,-19.385841,nan,nan
53,0.37649098,0.2508804,-14.227859,-12.020186,6.088058,-0.27113798,-7.658131,-19.85627,nan,nan
54,0.3561712,0.35064468,-14.53332,-12.317972,6.1891675,-0.2956098,-8.010941,-20.437109,nan,nan
55,0.4893419,0.37613416,-14.8915615,-12.542017,6.377838,-0.27793542,-8.316532,-21.02843,nan,nan
56,0.4987019,0.32403523,-15.294344,-12.753294,6.5930014,-0.36396483,-8.5982275,-21.519728,nan,nan
57,0.4398073,0.39658403,-15.626588,-13.02973,6.706949,-0.45374906,-8.931054,-21.968533,nan,nan
58,0.5258689,0.51041394,-15.915015,-13.318234,6.826517,-0.44232324,-9.2967,-22.518929,nan,nan
59,0.6125547,0.4849168,-16.249495,-13.559846,7.0348887,-0.4361023,-9.597046,-23.090014,nan,nan
60,0.5654388,0.5278485,-16.657867,-13.769127,7.2643833,-0.51644444,-9.885521,-23.55197,nan,nan
61,0.66321,0.60774606,-17.06596,-14.014272,7.428313,-0.6369124,-10.232738,-24.05291,nan,nan
62,0.70907825,0.55733067,-17.39551,-14.313532,7.5365143,-0.69084156,-10.567278,-24.646557,nan,nan
63,0.6492679,0.59637713,-17.709005,-14.583443,7.693529,-0.6721144,-10.8502035,-25.217352,nan,nan
64,0.6909399,0.71670336,-18.099512,-14.794142,7.916435,-0.713005,-11.128052,-25.696674,nan,nan
65,0.8140617,0.751256,-18.48195,-15.038287,8.077023,-0.8222313,-11.461231,-26.145355,nan,nan
66,0.81980056,0.72759,-18.787037,-15.326582,8.180488,-0.8564302,-11.834116,-26.675116,nan,nan
67,0.8025435,0.81533283,-19.085457,-15.590459,8.344002,-0.8349148,-12.161774,-27.264727,nan,nan
68,0.91252184,0.85618424,-19.448183,-15.808898,8.564976,-0.8675893,-12.442072,-27.772846,nan,nan
69,0.9138053,0.8218528,-19.865337,-16.025747,8.765186,-0.9730272,-12.769351,-28.23813,nan,nan
70,0.8750086,0.8915475,-20.257603,-16.294798,8.901118,-1.0806404,-13.120852,-28.796381,nan,nan
71,0.9517588,0.98704153,-20.57825,-16.59693,9.010818,-1.1152357,-13.420607,-29.386818,nan,nan
72,1.0660799,0.99714875,-20.90291,-16.85023,9.1737995,-1.0947282,-13.68738,-29.906126,nan,nan
73,1.0762699,0.9713436,-21.297594,-17.060991,9.394873,-1.1248151,-13.986298,-30.35893,nan,nan
74,1.0323344,1.0355889,-21.67661,-17.316051,9.573647,-1.2285011,-14.34598,-30.835253,nan,nan
75,1.1030741,1.1282063,-21.984697,-17.605316,9.686076,-1.2852476,-14.713801,-31.39667,nan,nan
