frame,leader_x,leader_y,f1_x,f1_y
103,0.3588473,-1.4317171e-05,0.35891077,-1.5000145
104,0.36243063,-1.5443657e-05,0.36249128,-1.5000162
105,0.36589277,-1.4999947e-05,0.36595306,-1.5000168
106,0.36928248,-1.5652397e-05,0.3693511,-1.5000185
107,0.37279925,-1.3407247e-05,0.3728546,-1.5000172
108,0.37637958,-1.4888072e-05,0.37643817,-1.5000191
109,0.37984404,-1.4332851e-05,0.3798941,-1.5000188
110,0.3832346,-1.4630532e-05,0.38329542,-1.5000211
111,0.38674417,-1.265727e-05,0.386803,-1.5000193
112,0.39033005,-1.4437923e-05,0.39038262,-1.5000205
113,0.39378893,-1.3793397e-05,0.39384544,-1.5000204
114,0.39717954,-1.4260666e-05,0.39722738,-1.5000216
115,0.40069315,-1.2179247e-05,0.4007476,-1.5000193
116,0.4042784,-1.3613513e-05,0.40432647,-1.5000216
117,0.40774179,-1.3471064e-05,0.40779114,-1.5000219
118,0.41112694,-1.38260075e-05,0.41117248,-1.5000231
119,0.41464427,-1.1373959e-05,0.41469046,-1.500021
120,0.4182267,-1.2817196e-05,0.41827065,-1.5000246
121,0.4216906,-1.22252895e-05,0.4217245,-1.5000247
122,0.4250789,-1.1959819e-05,0.42512295,-1.5000262
123,0.4285923,-9.71905e-06,0.42862442,-1.500025
124,0.43217465,-1.1166179e-05,0.43221012,-1.5000273
125,0.43563762,-1.0501499e-05,0.43567097,-1.5000275
126,0.43902364,-1.1073731e-05,0.43907386,-1.5000296
127,0.44253772,-8.66787e-06,0.44257644,-1.5000287
128,0.44611835,-9.7486045e-06,0.44616455,-1.5000293
129,0.44958216,-9.181022e-06,0.44962785,-1.50003
130,0.45297006,-9.3038325e-06,0.45300972,-1.5000309
131,0.45648873,-6.9846283e-06,0.45653093,-1.5000286
132,0.46006978,-9.140786e-06,0.4601097,-1.5000321
133,0.4635293,-8.722622e-06,0.4635695,-1.5000318
134,0.46691704,-9.604613e-06,0.46697095,-1.5000339
135,0.47042966,-7.45368e-06,0.47047317,-1.5000325
136,0.47401258,-9.05092e-06,0.47405866,-1.5000347
137,0.47746816,-8.365678e-06,0.47751883,-1.5000353
138,0.48085317,-8.627219e-06,0.4809141,-1.5000372
139,0.48437193,-6.1596656e-06,0.4844175,-1.5000358
140,0.48795587,-8.395233e-06,0.488002,-1.5000378
141,0.49141586,-8.083363e-06,0.49146217,-1.5000381
142,0.49481186,-8.94034e-06,0.49486098,-1.5000399
143,0.49831286,-6.944996e-06,0.49836183,-1.5000387
144,0.501897,-7.726558e-06,0.5019486,-1.5000393
145,0.5053593,-7.119823e-06,0.5054131,-1.5000399
146,0.5087423,-7.263887e-06,0.50879544,-1.5000403
147,0.51226455,-4.7921785e-06,0.51231295,-1.5000381
148,0.5158452,-6.308561e-06,0.515894,-1.50004
149,0.5193101,-5.5906203e-06,0.51934993,-1.5000399
150,0.52269727,-5.80959e-06,0.5227346,-1.5000409
151,0.5262103,-3.360794e-06,0.5262515,-1.5000391
152,0.52979374,-4.7526337e-06,0.52983266,-1.5000408
153,0.5332509,-4.144509e-06,0.5332914,-1.5000405
154,0.53664845,-4.765214e-06,0.5366932,-1.5000421
155,0.54014665,-2.7699498e-06,0.5401938,-1.5000411
156,0.5437332,-4.3339896e-06,0.5437808,-1.5000416
157,0.5471934,-3.7993595e-06,0.54724485,-1.5000422
158,0.55059385,-4.9841765e-06,0.5506242,-1.5000429
159,0.5540958,-3.6545025e-06,0.55414724,-1.5000403
160,0.557681,-4.2302636e-06,0.5577277,-1.5000415
